,Unnamed: 0,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,score
38,38,US,37151655,R3LY7MANJ71HBW,B004INUY06,303775294,"conair infiniti pro 1875 watt salon performance ac motor styling hair dryer with twist folding handle, blue",Beauty,3,37,38,N,Y,This Conair Is Full of Air,"Not as good as the original Conair 1875. Makeovers and upgrades don't always yield the best results. For instance, this 1875 replica. Lacks the basic functions a blow dryer should have, such as temperature adjustment. There is only a setting for high and low fan speed. Also, in order to use the air only feature with no heat, the cooling button has to be pressed and held down to use this basic function. This causes a person's fingers to get tired, holding a button over using a sliding switch. Then there is the retracted cord that is missing. That was probably the most valuable feature for the original Conair 1875. Made the dryer much more portable. Even useful when not traveling. Now the new 1875 has its cord sprawled all over the bathroom counter. The original is much better. This is slightly smaller with about 10 watts more power and a directional air controller, but overall not worth the investment.",8/27/2015,97.36842105263159
76,76,US,35279206,R2UB31YAU4O9TO,B000BBGS40,588999286,"hot tools professional 800 watt ionic soft bonnet hair dryer, black & white",Beauty,5,13,16,N,Y,Hot Tools bonnet dryer is compact & good brand. Remember the Dryer hose clicks into bonnet to stay hooked on.,"This is my third Hot Tools bonnet dryer in 25 years. I love it: highly recommend it. I, too had the bonnet constantly unhooking from the hose but realized after the second dryer that the bonnet has a notch inside the ring that clicks to keep the connected to the bonnet. The dryer does get very but with 4 heist settings I keep lower it after 10-15 minutes then every five.",8/24/2015,81.25
189,189,US,42689422,R7NWIOCA5RVPR,B00MMRFUG8,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple",Beauty,5,19,26,Y,N,Love the cool shot feature and that the filter is cleanable!,"Let me start with the removable filter which allows you to  clean the dust out, my previous dryers did not have this option and the filter would clog diminishing the airflow and the drying ability. That is why this is such an important feature to me,you would think all hair dryers would have it!<br />Now to its features: it has 3 heat settings and 2 power settings (*wish there were 3!)<br /> annnd a &#34;cool shot&#34; which Iove, Love, LOVE! I have very thin, fine hair and when I set my hair with heat rollers I use the &#34;cool shot&#34; feature to speed up the &#34;set&#34; and my curls stay in longer as the hair is more cooled down before I take the rollers out so the curls don't fall out as quickly as they used to, my set lasts longer.<br />I use the concentrator but have no need for the diffuser but if you are naturally curly it is a nice attachment to have.<br />It has the heat protection &#34;ionic technology&#34; that helps keep your hair frizz and fly away free, dries hair fast (I have long hair) and doesn't tangle it up when just doing a blow dry and not setting my curls.<br />It has a 2 year warranty and is at a GREAT price for what you get. I would recommend this dryer.",8/15/2015,94.6153846153846
312,312,US,48569242,R39O6U6DHMWRVQ,B00QNC39TI,828468145,mhd professional salon grade 1875w low noise ionic ceramic ac infrared heat hair dryer plus one concentrator and one diffuser black color,Beauty,1,39,46,N,Y,Defective switch on the product.,"When I first received this I absolutely loved it.  Great power, the cord was sturdy and extra long, and it worked really well.  However, I am returning it for a refund, because one month after getting it, the &#34;hi - lo&#34; switch stopped working and it would only work on &#34;high&#34;.  I thought I could live with that but this morning when I was using it the switch in the handle started feeling really hot and smoke started coming out of it.  So I don't know if it was just a fluke and this particular one was defective, or if it is something that happens often with this model.  I was really disappointed though because I was really pleased with it when it was working as it was supposed to.",8/6/2015,84.78260869565219
336,336,US,29585379,R37XX9UMWV0KUC,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),Beauty,1,19,41,N,Y,Safety issue,"Within less than four months, I noticed a fiery red glow within the barrel and had to stop using for fear of my hair catching on fire.  The company was nice enough to refund my money once I could finally get hold of someone (note there are no phone numbers provided with the dryer or on their website), however I do not recommend due to safety issues.",8/4/2015,46.34146341463415
412,412,US,17629252,RTB553I898XFZ,B00QNC39TI,828468145,mhd professional salon grade 1875w low noise ionic ceramic ac infrared heat hair dryer plus one concentrator and one diffuser black color,Beauty,5,14,17,N,N,Fast and efficient!,"[[VIDEOID:3ce786db72a405f72c6e511ec156f72d]]I have needed a hair dryer forever and finally got this one. I am so happy because the vent on my old one was sucking my hair inside and I would have to break by hair to get it out.<br /><br />This hairdryer is very nice and durably constructed. It feels substantial in my hands, not flimsy and cheap. It comes with 2 diffuser type attachments that connects easily and stay in place until you take them off.<br /><br />The cord on this hairdryer is super long so I can move around quite a bit while drying my hair. There is also a loop built in the handle so this hair dryer can be hung up for storage purposes.<br /><br />The hairdryer itself has a cool shot button which you hold down if you want cool air to blow out. There is another button that changes the forcefulness of the air that is blowing out (this one has 2 settings). The last button is high, medium and low for the warmth of the heat that will blow out of the hair dryer.<br /><br />This hair dryer is 1875 watts so it is pretty powerful and it dries my hair pretty quickly. The infrared light actually is an orange red color and it helps to reduce static and frizz.<br /><br />I am very impressed with this hair dryer and I wish I would have gotten it sooner.<br /><br />I received this product free in exchange for an honest and unbiased review.",7/28/2015,41.1764705882353
459,459,US,12056193,R3B9QLTG8QUYJJ,B00QNC39TI,828468145,mhd professional salon grade 1875w low noise ionic ceramic ac infrared heat hair dryer plus one concentrator and one diffuser black color,Beauty,5,22,27,N,N,"An amazing hair dryer perfect for curly or straight hair, definitely a professional blow dryer!","I have never had a blow dryer this amazing before, I don't even know where to begin.  The first thing I noticed was this blow dryer is a little heavier than my current blow dryer....I guess that's what it takes to be such a phenomenal blow dryer! It's not so heavy that you won't want to use it, and it's surprisingly compact.<br /><br />You get two attachments, a concentrator nozzle, which if you've never used one before is amazing for keeping your hair smooth and silky.  You get a finger diffuser as well; which is great for curly hair or waves without the frizz.  I've never been able to blow dry my hair and get curls that I love up until now.  Normally my hair is a big ball of frizz after blowdrying it, but I was able to get frizz free curls with the help of this diffuser.<br /><br />I straighten my hair frequently and for the longest time I had to let my hair dry overnight because blow drying my hair would just cause it to frizz and even using a straightener wouldn't get rid of the frizz.  Now I just use the concentrator nozzle and it really helps keep the frizz at bay when I want to blow dry it straight.  Quite possibly my favorite thing about this blow dryer is the fact that not only does it have a cool shot button, it has a COOL setting, I have A LOT of hair and holding down that cool shot button for my whole hair can be a pain, now I can just switch it to the cool setting. Overall, I love this blow dryer, it's the best one I've ever owned.<br /><br />I received this product for free in exchange for my honest, unbiased review.",7/25/2015,40.74074074074074
563,563,US,37763081,R83VC4MCIN8XX,B00JXQ06X8,619941271,bed head curls in check 1875 watt diffuser hair dryer,Beauty,3,20,22,N,Y,I actually love how this dryer performs but it looses its motor ...,"I actually love how this dryer performs but it looses its motor and heat too quickly, had to send back to the manufacturer within 4 months already once and doing the same thing again",7/16/2015,90.9090909090909
670,670,US,22056348,R2XDON9JUU0X23,B00VRN7SB8,253917972,remington silk ceramic professional hair dryer,Beauty,2,21,21,N,Y,Edited review after six months,"Edited January 2016:  After only six months, this dryer is wearing out.  It gets way too intensely hot, even on the medium setting, probably because the fan is barely blowing.  Hardly any difference at all between low and high fan, and it barely makes a breeze, so my hair is getting all heat and no movement. I went out and replaced it today.",7/8/2015,100.0
773,773,US,10286748,R343JSO3O9K2IC,B00MFBGATM,646149518,"panasonic hair dryer nano care, white, 1 ounce",Beauty,5,53,57,N,Y,"Incredible dryer!  Fast, soft and shiny hair!","Wow.  Honestly, I was a bit skeptical about whether there would be any difference between this hairdryer and the $20 ones I have been using my whole life.  I couldn't be more wrong!  This dryer is truly head and shoulders above anything I've tried before.  Please read on to hear about the technology, results and how to properly use this should you be convinced to take the plunge!<br /><br />The Technology<br />Rather amazing technology here from the engineers at Panasonic.  Using a high electric potential they create negative ions which trap water molecules from the air and combine them with the hot air jet of a conventional dryer.  By doing this, they buffer the air jet with moisture which in turn prevents damage to hair.  Panasonic has been leaders in this area of technology which is why Japan enjoys the best selection of such hair dryers.<br /><br />The Results<br />As other reviewers have pointed out, hair is dried quicker and with softer, shinier results!  My hair is short, but for most women with longer hair, the results should be even better!  It is designed to run cooler to protect hair from heat, so if you dry your hair everyday you would significantly reduce cumulative damage to hair.<br /><br />Before you use:<br />You must be aware of the electrical requirements for using this fine hair dryer.  Since it was designed for the Japanese domestic market, it is made for their electrical system, not the U.S.  Although the plugs in Japan and the U.S. look the same, the electricity supply is very different.  I am an electrical engineer and I have lived in Japan, continue to use many Japanese products in the U.S. so I understand the differences well and how to work around them.  In Japan they use 100 volts, however in the U.S. we use 120 volts.  That means by plugging in a Japanese product directly into the U.S. system, you would overload the product by 20%.  For a high wattage device like a hair dryer that is a considerable amount over the intended design!  Indeed some other reviewers have posted pictures of melted dryers and claimed they were defective.  However, if properly used this should not happen.  In fact, I noticed that when I use mine, the hair dryer itself stays quite cool.<br /><br />See my pictures below which show the electric sticker saying 100v (if it were ok for U.S. it would have a range that included 120v).  I have also posted 2 pictures of my dryer plugged in to a transformer.  Note the first one with the power off, my voltage reader measures 105volts (this is close enough to 100v).  The second one has the power on, and it is consuming 1148 watts.  (That is more than many microwaves, so you can imagine with 20% overload why people were experiencing bad smells, melting and early failure!)<br /><br />I warn that a proper stepdown transformer (capable of at least 1200 watts minimum for this dryer) will be expensive.  But used within its capacity will last forever.  I personally recommend Japanese made transformers from companies such as Sanyo, Nissyo or Toyozumi.  I have heard poor quality control on Chinese made ones, so given the high cost of the dryer (or any other Japanese product you would consider, i.e. Panasonic Nanocare steamer) I would invest in the best transformer.  Furthermore, I would not hesitate to purchase a Japanese transformer used on eBay as these are very durable items and you can often get a great deal (they come up from time-to-time.)<br /><br />5 stars!  When used properly will provide incredibly healthy looking hair!d some other reviewers have posted pictures of melted dryers and claimed they were defective.  However, if properly used this should not happen.  In fact, I noticed that when I use mine, the hair dryer itself stays quite cool.<br /><br />See my pictures below which show the electric sticker saying 100v (if it were ok for U.S. it would have a range that included 120v).  I have also posted 2 pictures of my dryer plugged in to a transformer.  Note the first one with the power off, my voltage reader measures 105volts (this is close enough to 100v).  The second one has the power on, and it is consuming 1148 watts.  (That is more than many microwaves, so you can imagine with 20% overload why people were experiencing bad smells, melting and early failure!)<br /><br />I warn that a proper stepdown transformer (capable of at least 1200 watts minimum for this dryer) will be expensive.  But used within its capacity will last forever.  I personally recommend Japanese made transformers from companies such as Sanyo, Nissyo or Toyozumi.  I have heard poor quality control on Chinese made ones, so given the high cost of the dryer (or any other Japanese product you would consider, i.e. Panasonic Nanocare steamer) I would invest in the best transformer.  Furthermore, I would not hesitate to purchase a Japanese transformer used on eBay as these are very durable items and you can often get a great deal (they come up from time-to-time.)<br /><br />5 stars!  When used properly will provide incredibly healthy looking hair!",6/27/2015,92.98245614035088
