,Unnamed: 0,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,score
28,28,us,43572560,r2uxkaufmpe0pj,b00028xjna,756441329,medela pump and save breast milk bags,baby,1,29,29,n,n,i hate these bags.,"these bags make it obvious why the lansinoh bags are so popular.<br /><br />cons:<br />- the medela bags are nearly impossible to get zip closed, and i can never seem to do it without getting milk on the top and air inside the bag.<br /><br />- they are also horrible for measurement. what looks like 5oz on the bag is actually around 4oz if you measure with a medela bottle. i'm not sure how to get the bag to stand up with milk in it and hit the 5oz mark correctly.<br /><br />- the idea of pumping directly into a bag is fantastic. but i exclusively pump and routinely get 4-5oz from one side, which makes pumping precarious because these bags are nearly full with that amount.<br /><br />- the medela bags do not freeze flat. they are thicker at one end, which makes these bags a space hog in my freezer.<br /><br />i'm only using these medela bags until my new box of lansinoh bags arrives in a couple of days.",8/30/2015,100.0
766,766,US,4720774,R1B3UVP89GDWJE,B00BTWEUPE,597077781,"mam feed & soothe bottle & pacifier gift set, boy, 0+ months, 6-count",Baby,1,21,29,N,Y,The design was different,"I chose the blue bottles that had the monkeys on them but I received the ones with airplanes one them, I wanted to get the ones I ordered.",7/28/2015,72.41379310344827
848,848,US,43324593,RELAOI4O0P3YI,B003CK3LDI,392768822,wubbanub infant pacifier - giraffe,Baby,1,37,47,N,N,READ THE OTHER REVIEWS! I ordered 3 Wubbanub's (my ...,None available.,7/23/2015,0.39361702127659576
871,871,US,26844503,R2N7YPZDDHXG8W,B0081ZOV06,473538559,"philips aventbpa free soothie pacifier, 3+ months, green, 2 count",Baby,1,16,20,N,Y,this is not 3+ pacifier!,This is such a rip off. I have 0-3 month pacifier from the same company and they are exactly the same! Baby doesn't use any of them.,7/21/2015,80.0
1167,1167,US,50962978,RF0XUPCG12L9O,B00MYRXSE2,528212913,"baby brezza baby bottle sterilizer and dryer machine – electric steam sterilization - universal fit - pacifiers, glass, plastic, and newborn feeding bottles",Baby,5,12,15,N,Y,Save Time and Spend it on Your Baby Thanks to This,"We knew with our second child time was going to be short and precious. With our first daughter I remember all the hours spent sanitizing and drying bottles. This time around we decided to invest in this device and are happy we did.<br /><br />There isn't much to say beyond it does what it is supposed to, it saves us an enormous amount of time and that makes it worth the money. Once or twice a day we collect used bottles, rinse them and remove anything major using a bottle brush and then load them up into the Baby Brezza. Usually we do this before going to bed.<br /><br />It works its magic and bottles come out sparkling and dry. It is a decent amount of money for something you can do for free. So the real question is what is your time worth? For our family a lot and any little device like this that can give us our time back is well worth the cost.",7/4/2015,80.0
1230,1230,US,23058603,R2TBK6BG26FZVC,B0057EEC3A,218530709,"philips avent translucent orthodontic infant pacifier, 0-6 months",Baby,1,47,51,N,N,Horrible!!,I washed these pacifiers with soap and I rinsed it very well but I guess there was some soap stuck inside because when I gave it to my 2 week old daughter there was soap bubbles coming out of her mouth!!! When I took the paci from her it was full of soap!!,7/1/2015,46.07843137254902
1311,1311,us,16472793,r2kskq5w9ksdth,b00gjixt3w,991141018,delta children smooth glide bassinet,baby,4,15,15,n,y,good purchase for price and quality,"this bassinet is adorable, i love the colors and style. i bought it because it was cheaper than some others and looked great. the only reason i have 4 stars instead if 5 is because i don't feel like the glider feature is very good. it glides but not very smoothly. nothing i can't deal with though, i hardly glide/rock it anyway. love the little baskets it comes with and the little mattress is just what a newborn needs, it's supposed to be firm!!! looking back i would have just saved a little more and bought the delta that doesn't glide. but i'm happy and do recommend it!",6/26/2015,100.0
1370,1370,us,10011489,r1i28vz23418bk,b00iss2s6a,37521900,"diono rainier convertible plus booster with adjustable head support, shadow",baby,5,11,11,n,n,great carseat! video instructions are a must!,"i received my rainier in the color glacier today. i was so excited to finally have it, but i was also somewhat stressed about putting it together after reading countless reviews on how hard it is to install. surprisingly, it wasn't as difficult as i thought it would be. our first car seat was a britax b-safe 5 point harness so we kind of already had a heads up on this system and adjusting all the straps.<br />we skipped right to the short instructional videos on youtube that help explain step by step how to step up the car seat in the car. let me tell you they were a life saver, there's nothing like watching someone actually setting it up instead of reading instructions and looking at the pictures.(i'm more of a hands on person)<br />the car seat looks very well constructed. it definitely feels very safe and incredibly comfy. the color was so nice, which was an added bonus. all in all, i'm very impressed and happy with this purchase!",6/24/2015,100.0
1589,1589,us,45945110,r54kvtiw1h9qq,b00i3wexwi,898571715,"munchkin latch bpa-free baby bottle, 8 ounce, 2 pack",baby,5,33,34,n,n,(this was not an easy task. so here is the break down of ...,"i have tried 6 different types of bottles for my breast fed baby. she suffers from gas so i wanted to try the anti gas/colic bottles and a bottle that was as close to breast feeding as possible. (this was not an easy task. so here is the break down of the 6 different bottles from my favorite to my least favorite.<br /><br />tommee tippee sensitive tummies<br />pros:<br />-natural shaped nipple<br />-good tubed venting system<br />-jaw mechanics close to breast feeding<br />cons:<br />-lots of parts to clean<br />-no disc between bottle and nipple<br /><br />munchkin latch<br />pros:<br />-good bottom venting system<br />-natural shaped nipple<br />-jaw mechanics close to breast feeding<br />-milk comes out of the nipple usually only when baby is sucking<br />cons:<br />-baby had difficult time latching<br /><br />dr. brown<br />pros:<br />-good tubed venting system<br />cons:<br />-not natural shaped nipple,<br />-doesn't have same mechanics as breast feeding,<br />-lots of parts to clean.<br /><br />born free:<br />pros:<br />-good venting system<br />cons:<br />-air kept squeaking in the corners of my babies mouth during feeding<br />-average shaped nipple<br />-faster flow than other slow flow<br /><br />phillips avent<br />pros:<br />-natural shaped nipple with cutouts to make the nipple more pliable<br />cons:<br />-not very good venting system. i had to keep burping during the feeding.<br /><br />lanisoh momma<br />pro:<br />-natural shaped nipple<br />con:<br />-terrible venting system (worst of the bunch). baby was up till 3am with gas pain.<br /><br />i really wanted my baby to like the munchkin bottle the best.  it seemed to have the closest to breastfeeding mechanics of the bunch.",6/18/2015,97.05882352941177
1627,1627,us,18352496,r28ykmvzzlrybv,b00oc8b1iq,973004980,bright starts around we go 3-in-1 activity center zippity zoo,baby,5,23,26,n,y,worth every dollar!! my baby boy loves it ...,"worth every dollar!! my baby boy loves it,and i have more time to do things while he plays in it(i think we all moms can agree that we sometimes don't even have time to eat,soo it is so important that baby can play  by himself).  i also put lot of his toys on the table so its more interesting for him.we bought it when he was 5 months old and now his 8 months,you can adjust the seat when baby grows.",6/18/2015,88.46153846153848
