customer_id,marketplace,product_category,product_id,product_parent,product_title,review_body,review_date,review_headline,review_id,verified_purchase,star_rating,total_votes,helpful_votes,vine
32500930,US,Beauty,B00VRN7SB8,253917972,remington silk ceramic professional hair dryer,"This is a really nice hair dryer from Remington. The handle and controls  are very ergonomic, and the head is well balanced so that it doesn't get to be a chore handling it. The heat settings are what you'd expect, and the dryer does a good job of getting your hair dry fast without too much static buildup. What I really like about this dryer is the generous cord length and the ability to hand the dryer from a hook. The attachments fit well, but the diffuser attachment comes in the handiest as always.",8/28/2015,Great Hair Dryer,REOAJPZWKR6K9,N,5,0,0,Y
37151655,US,Beauty,B004INUY06,303775294,"conair infiniti pro 1875 watt salon performance ac motor styling hair dryer with twist folding handle, blue","Not as good as the original Conair 1875. Makeovers and upgrades don't always yield the best results. For instance, this 1875 replica. Lacks the basic functions a blow dryer should have, such as temperature adjustment. There is only a setting for high and low fan speed. Also, in order to use the air only feature with no heat, the cooling button has to be pressed and held down to use this basic function. This causes a person's fingers to get tired, holding a button over using a sliding switch. Then there is the retracted cord that is missing. That was probably the most valuable feature for the original Conair 1875. Made the dryer much more portable. Even useful when not traveling. Now the new 1875 has its cord sprawled all over the bathroom counter. The original is much better. This is slightly smaller with about 10 watts more power and a directional air controller, but overall not worth the investment.",8/27/2015,This Conair Is Full of Air,R3LY7MANJ71HBW,Y,3,38,37,N
48428870,US,Beauty,B00VRN7SB8,253917972,remington silk ceramic professional hair dryer,"This is a very nice hair blow dryer.  The color is a lovely medium shade of pink that is in a matte tone versus a plastic looking shiny one.  The dryer comes with a diffuser which works well for my curly hair.  It has an unusual type of soft touch finish.  It doesn't feel slippery at all.  It fits well in the hand and the finish seems to be it fit a little more snug that others I have had before.<br /><br />The air filter is removable and be sure to clean it about once a week.  I destroyed a blow dryer by not cleaning the filter - it overheats the motor and kills it pretty quickly.  Along with the diffuser, there is a very narrow concentrator attachment which works really well if you need to put heat on a precise spot.  There are three heat settings and two speeds.  There is also a cool shot button for getting the air cool quickly as you are styling.<br /><br />The interesting thing about this blow dryer (apart from the finish) is that it is much quieter than others I have had.  My first thought was that it meant that it wasn't as powerful but that is not the case.  It works well and is not as loud.",8/26/2015,Really nice features in a blower dryer,R2AVR4LDQJ9ZC3,N,5,0,0,Y
14693093,US,Beauty,B00MMRFUG8,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple","I've owned like 3 or 4 blow driers in my time. I'm not so good about consistently using them because I'm lazy. Well, I also know how harsh blow-drying can be on hair (particularly colored like mine), so I tend to avoid it. But every so often (more so in the winter), I find I need to dry my hair quickly instead of waiting. My last hair dryer died in a blaze of glory - well, actually it more or less fizzled and refused to turn on. So when this popped up in my Vine selection, I selected it.<br /><br />This Remington hair dryer comes with attachments - one, a diffuser, that looks like an alien product (apparently used for curly hair), and a funnel appendage that reminds me of an airplane wind tunnel. I don't have curly hair so I didn't bother with the diffuser (I really wish it had not been included because all it does it take up valuable drawer space), but I did test out the Wind Tunnel (much as I like pretending it's a wind tunnel for miniature airplanes, I would like to know, what is this thing called really?).<br /><br />I love all the settings! My last hair dryer pretty much had hi-lo, hot-cold and that was it. This has 3 heat settings and 2 speeds along with a cold blast setting, allowing for a more controlled drying experience. I found it really dried my thick, wavy hair well (another reason why I hate drying my hair - it usually takes 30 minutes for it to be all dry) and relatively quickly. The Wind Tunnel also helped to ensure nice, smooth, straight hair - the way I like to style my hair.<br /><br />Overall, I'm impressed and pleased. I wish that the diffuser hadn't been included because I have no need for it and the space it takes up BUT I know that those with curly hair may appreciate it.<br /><br />UPDATE 09/18/16: While I still like this product, I have since received a Bio Ionic from Vine, which I like more. The Remington's Cool Burst is far too easily activated when I am drying my hair, a problem I don't have with the Bio Ionic. Therefore, I am taking away 1-star to show this.<br /><br />Brought to you by:<br />*C.S. Light*y: *C.S. Light*",8/25/2015,"Dries my thick, wavy hair quickly and thoroughly",RH1COQMQTTTQK,N,3,1,1,Y
35279206,US,Beauty,B000BBGS40,588999286,"hot tools professional 800 watt ionic soft bonnet hair dryer, black & white","This is my third Hot Tools bonnet dryer in 25 years. I love it: highly recommend it. I, too had the bonnet constantly unhooking from the hose but realized after the second dryer that the bonnet has a notch inside the ring that clicks to keep the connected to the bonnet. The dryer does get very but with 4 heist settings I keep lower it after 10-15 minutes then every five.",8/24/2015,Hot Tools bonnet dryer is compact & good brand. Remember the Dryer hose clicks into bonnet to stay hooked on.,R2UB31YAU4O9TO,Y,5,16,13,N
15209903,US,Beauty,B00MMRFUG8,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple","I have been using an older model Remington hair dryer, and, while that model has held up well with daily use for over 3 years, this newer model is lighter weight and slightly smaller yet produces the same results as the old model.<br /><br />This Remington says that it has micro conditioners to prevent heat damage and increase hair shine. It also says that its ceramic technology prevents hair damage and dries hair faster.<br /><br />Since using the Remington hair dryers (daily) my hair (untreated and treated) do not show hair damage at all - no split ends, no dry/brittle, no fly-away. Whether this is attributable to the dryer or my hair product (changed when I started treating my hair), I cannot say. I use shampoo & conditioners about every other day and dry my hair every day.<br /><br />Dry time is fast. The new model doesn't seem to have a faster dry, but the dry time is pretty quick nonetheless. I do not use either attachment. This dryer comes with a diffuser (Remington caught flak with the last model not including a diffuser) and a directional blower. Both are standard plastic.<br /><br />Overall, this Remington dryer works well, dry well, and should last a number of years if it follows in previous models' footsteps. Very happy with the feel and results.",8/23/2015,"Slightly Smaller and Lighter than its Predecessor. Quick Drying, No Fly-Away Hair.",R22CALOXJCOQOZ,N,5,0,0,Y
20789642,US,Beauty,B00MMRFUG8,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple",We have just gotten rid of all the hair dryers in the house to try some new ones (the last ones should have been thrown out years ago) and this one works great. My wife and daughter have very kinky curl hair and it takes time to dry their hair but this product cuts that time in half which is great. Very strong firm hair dryer that feels high end upon picking it up(although very affordable looking at the price). My daughter has taken over this one in her bathroom (she loves the color purple) so we have let her take possession of this one.<br /><br />Great hair dryer that you would expect to see at a high end salon.,8/22/2015,Cuts Hair Drying in Half!,RUYUENHPSLBUL,N,5,0,0,Y
52632524,US,Beauty,B00MMRFUG8,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple","Excellent hair dryer with some good features.  Some of these features seem to be from a marketer's mind rather than real.  It won't fix damaged hair...whatever that means.  It won't make your hair shinier, healthier, or improve your already good looks.  However, in real world day-to-day use it is very capable and effective at drying and styling.<br /><br />It feels solid and well built without being too hefty.  It has very solid cord connectors and circuit breaker protection built into the plug...excellent safety features!  The handle and controls are very well placed for ease of use.  They stay cool to the touch during use.  It has 2 speeds and 3 heat settings.  Low speed and low heat works best for us. It puts out a huge amount of hot air at high heat and high speed.  It has a cool air blow feature which is good for finishing the drying process.  It has a couple of attachments, a concentrator and diffuser, which you may find useful.  It definitely is not portable though it is transportable if weight is not an issue.<br /><br />Hair dryers are a commodity and there are a lot of choices.  This unit stands out in a crowded field and should work for almost all hair drying and styling situations and requirements.",8/19/2015,Variable heat and speeds -- Excellent safety features.,R1UU61RBM66JSV,N,4,3,2,Y
50906647,US,Beauty,B00VRN7SB8,253917972,remington silk ceramic professional hair dryer,"From Ms. s1rude.<br />I've been using an older model Remington hairdryer for years, so I was able to compare this model to an another model of the same brand.<br />I don't have a model number on my current hairdryer because all of the writing has been rubbed off, but it has a single switch to select hi/low warm speeds or cool mode. The AC2015C has two switches, one allows you to select between three temperatures, the other between two speeds. There is a &#34;cool shot&#34; button. I have fine, straight shoulder length hair and don't really use my dryer for anything other than drying, so I've never understood the purpose of a cool shot button. Were I to use this function, I prefer my existing drying because you can set it to cool mode with the switch, while the new model requires you to hold the button down continuously for cool air. The AC2015C is more than twice as heavy as and slightly larger than my existing dryer, which I didn't care for. Pros of the AC2015C are that it is a nice looking dryer, and if its anything like my old Remington, it will probably last forever. For now I'm planning to stick with old reliable; its lighter and more straightforward.",8/19/2015,but it has a single switch to select hi/low warm speeds or cool mode. The AC2015C has two switches,RD8D4BH6JSOVK,N,3,1,0,Y
45351550,US,Beauty,B00MMRFUG8,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple","It's a good, no-nonsense hair dryer, and I'm rating it as such.  Three heat settings and two speeds give it great versatility to do a speed dry or more leisurely styling assistance.<br /><br />I'm particularly fond of the removable filter...this is replacing an older hair dryer that was very difficult to clean.  I'm less fond of the attachments...not that they are bad or anything, only that I've never used any kind of attachments for a hair dryer.  They seem a little loose though, so I'm not sure of their ultimate utility.<br /><br />This does put out plenty of power, and it seems like a &#34;clean&#34; heat without a ton of noise.  It's not whisper-quiet, but it does seem a little more discreet than my old hair dryer.<br /><br />So  I do like this - it's handy with a decent amount of power behind it.  As I said, it's no-nonsense.  And I appreciate it.",8/18/2015,"A good, no-nonsense dryer.",R3DJXEPP8M7OV1,N,5,0,0,Y
