customer_id,marketplace,product_category,product_id,product_parent,product_title,review_body,review_date,review_headline,review_id,verified_purchase,star_rating,total_votes,helpful_votes,vine
38328350,US,Major Appliances,B0052G51AQ,423421857,danby 0.7 cu.ft. countertop microwave,"I just received mine and, when it's running, you can see the interior light shinning through a gap on the top corner. Not sure if this is normal or safe, so I've submitted a question about it. For now, I'll give it a 3 star review for looks and the slightly annoying BANG! the door makes when it closes, pending any heating and an answer to my question. I'll update then. I'm attaching pictures of the gap.<br /><br />UPDATE (9/26/2015): Well, the gap doesn't seem to be a normal feature, but it doesn't seem to affect the operation of the microwave oven in any way. I mostly use it for heating up leftovers and it works great for that purpose, have not tried it for any serious cooking. The loud door is far more tolerable now after a few uses, barely noticeable. Updating my review to 4 stars, won't do five only because of that gap.",8/19/2015,Gap on the top right,R3ALDVS4RB8YJD,Y,4,53,47,N
17321040,US,Major Appliances,B00NG0FP7E,565072108,lg over-the-range microwave oven with 300 cfm venting system,"I had the older version 2083ST and it stopped working so I replaced it with this microwave - has identical size and older model does not exist.<br /><br />Two aspects were problematic from the prior model - one of the mounting screws was located in the wrong position, thankfully the wall bracket and one of the screws aligned perfectly. So had to drill one more screw. However, the two screws are not symmetrical i..e the distance from the sides of the microwave are different. This is bad engineering, as the center of gravity is not the center.<br />Second, the interior is grey, so we cannot be see the food cooking. Moreover, the bottom of the outside panel is tinted (or black) so unless you are 6 ft tall, you cannot see the very dark interior with very small light.<br />Further, the microwave arrived with the mounting bracket (which was located at the top of the microwave carton) bent; thankfully, we had the older one, we did not have to use it.<br />Overall, disappointed with LG design and there is no backward compatibility with older models.",8/2/2015,Not very happy with the new design,R32N9OYUHZYHKB,Y,2,22,21,N
18232646,US,Major Appliances,B00NG0FP7E,565072108,lg over-the-range microwave oven with 300 cfm venting system,"This is a nice looking unit. It arrived right on schedule and was well packaged, so no damage. Plus, all the features seem to work. I particularly like that the fan seems to be quieter than my old unit. My only complaint was, as noted by a couple of others, the installation instructions had the screws in the wrong places. Fortunately, I didn't do the install myself, a pro did it--or the micro would have been on the way back to &#34;home&#34;! The unit matches my other LG appliances, so, I'm pretty happy. I'll update this after I've used the micro for a while. Ta. y'all.",7/27/2015,Nice looking,R2L4EY0P304JL8,Y,4,14,11,N
35489710,US,Major Appliances,B00NQFSSWS,692404913,samsung counter top microwave,"I was a bit concerned after reading some of the ratings, but I took the plunge -- and I'm glad I did.  It does everything as good or better than advertised.  As with most products, the manual could stand some extra effort (simplification), so those who don't read it do so at their own peril.  Both my wife and I are pleased with this product and hope it lasts as long as my original Samsung (11 years).",7/25/2015,Read The Manual And You Will Be Rewarded!,R2ZYJNJLVR8CP0,Y,5,12,11,N
12341246,US,Major Appliances,B001QFYDSI,295520151,sharp microwave drawer oven,"We love this. One of our favorite parts of the kitchen remodel. Such a space-saver and it just IS cool. I read some negative reviews - all stemming from not have a revolving plate and might be damaged if someone pushes down on it? Well duh. I have a 5yo and 8yo - they know not to stand on/in the microwave. And it's 2015 - who needs a revolving plate? I use a microwave for quick stuff, not rotisserie chicken and what-not. We are super-pleased with this microwave.",7/5/2015,"SOLID microwave, looks and works perfect! See my photos.",RWI2FSOJQXPTW,Y,5,54,50,N
30029300,US,Major Appliances,B003K5FPRU,392967251,"frigidaire ffmv164l 1.6 cubic foot over-the-range microwave with fits-more capacity, 1,550 watts and,","How did our landlord get all new appliances and choose this awful contraption?!? The incessant beeping is driving me a little mad and, of course, there's no way to change that. Reviews for this thing being awful go back to 2-4 years ago. Just a little internet search could have saved me from this fate. I hope it dies soon.",6/3/2015,How did our landlord get all new appliances and choose ...,R23HJ4TLYTCUER,N,1,11,11,N
16097283,US,Major Appliances,B003K5FPRU,392967251,"frigidaire ffmv164l 1.6 cubic foot over-the-range microwave with fits-more capacity, 1,550 watts and,","This is by far the MOST stupid appliance I have ever come across in all my years.  As you will read in other reviews, the absurdity of its functions has yet to cease angering me on a daily basis.<br /><br />The 3 beeps when things are done cooking - You can not do ANYTHING until it slowly finishes its 3 beeps.  No stop, no cancel, no starting the microwave again or adding time.  You must stand there and listen to its siren song of idiocy.<br /><br />Also, you can't use the timer and use the microwave at the same time. I mean, why?! WTF!<br /><br />Daily I want to rip this thing off the wall and take it into a field Office Space style and beat it with a baseball bat.<br /><br />Anyone want to buy a microwave from me? Cheap!",6/1/2015,HORRIBLE POS,R3N3RL34MMGNJG,N,1,13,12,N
32123809,US,Major Appliances,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,The button pad gets very easily torn up. I'm not a heavy handed person.  Owned this a few months and the pad is torn up. Looks like something was chewing on it. Especially the start and clear buttons.  Would have spent a bit more for a sturdier pad. Otherwise it works great and looks good.,5/25/2015,pad very delicate,R1D9P6NZGXRTZH,Y,3,108,97,N
34683018,US,Major Appliances,B005GSZB9Q,771401205,"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white","My Whirlpool microwave, 18 months old, caught on fire. I tried calling Whirlpool once and was told I would get a call back from someone in safety. Never happened. I called back, sat on hold for 35 minutes, then had a customer service rep hang up on me. WHIRLPOOL NEEDS TO BE HELD ACCOUNTABLE FOR THIS FAULTY PRODUCT. THIS KIND OF PRODUCT AND CUSTOMER SERVICE IS NOT OK. No one buy this product :Whirlpool WMC20005YW: it is a safety hazard!!!!!!!!!",4/21/2015,"My Whirlpool microwave, 18 months old, caught on ...",R14FW5HILO46S0,N,1,15,15,N
34460563,US,Major Appliances,B00413662I,801135043,"amana 1.5 cu. ft. over-the-range microwave, amv1150vaw, white",I did not care for the way the bottom of the microwave was not finished.  I need a better finished bottom.  The filter on the bottom does not fit in tightly enough.,4/21/2015,I need a better finished bottom,R1RRNK68CSBBOE,Y,4,11,10,N
