customer_id,helpful_votes,marketplace,product_category,product_id,product_parent,product_title,review_body,review_date,review_headline,review_id,star_rating,total_votes,verified_purchase,vine
3178200,1,US,Major Appliances,B00NQFSSWS,692404913,samsung counter top microwave,"The cord isn't long enough, so I have to pay more money for a longer cord.",3/24/2015,Cord too short,R7WJTGGIOFYCJ,1,26,Y,N
27245041,1,US,Major Appliances,B00NQFSSWS,692404913,samsung counter top microwave,Arrived Damaged and needed to use immediately...,2/8/2015,Never again...,R2G01Q2XFEUQXG,2,11,Y,N
13619827,4,US,Major Appliances,B00EU7AMX4,991090482,ge pvm9179sfss profile 1.7 cu. ft. stainless steel over-the-range microwave - convection,Terrible product. Cheaply made. Horrible review all around.,2/4/2015,Don't buy GE microwav,R1P0RUB8X7EAP9,1,21,Y,N
21128627,2,US,Major Appliances,B00NG0FP7E,565072108,lg over-the-range microwave oven with 300 cfm venting system,great suction not noisy,1/23/2015,Five Stars,R5G7G1CFWENZ8,5,10,Y,N
42800922,1,US,Major Appliances,B00NQFSSWS,692404913,samsung counter top microwave,Came with a huge dent in the side.,12/18/2014,One Star,R36THGSJQMXR8N,1,36,Y,N
13357281,0,US,Major Appliances,B0052G51AQ,423421857,danby 0.7 cu.ft. countertop microwave,poorly built,7/4/2014,One Star,RDE458XLZBFN3,1,10,Y,N
28247352,3,US,Major Appliances,B005GSZB7I,827502283,"whirlpool stainless look countertop microwave, 0.5 cu. feet, wmc20005yd","I got this because it was touted as a mini-microwave. Of course, I am capable of reading the dimensions, which I did, but when it arrived it still seemed shockingly huge for a mini or compact microwave. It simply won't work with my limited counter-space. I don't know how well it works, because after trying it in various spots, I put it right back in the box. BTW, it is $30 to send back, so make sure you want it before you order.",10/28/2013,Not compact,R22LTMS91M7NHB,2,10,Y,N
45759549,2,US,Major Appliances,B0073YCGK8,542519500,"whirlpool wmh31017fs 1.7 cu. ft. over-the-range, combination microwave oven, stainless steel, 1000 watt","I received on time, but with damage on the door and left side and with out grill,I'm not so happy",10/10/2013,I'm not satisfy,R1YRQHIPKBO6EJ,1,12,Y,N
11691941,3,US,Major Appliances,B0043GDSR4,166483932,ge csa1201rss cafe advantium 1.7 cu. ft. stainless steel over-the-range microwave - convection,Just installed the microwave and it has a lot of options. Just getting used to it. Unit did arrive with 2 minor dents to the exterior cabinet. Didn't return item because damage was hidden by install and didn't effect the operation of the unit. I was kind of wary that it would arrive damaged due to the weight of the item.I would recommend this item.,5/4/2013,Unit is Top of the line,R21DTW0OLOUKBV,5,11,Y,N
46964320,3,US,Major Appliances,B005GSZB7I,827502283,"whirlpool stainless look countertop microwave, 0.5 cu. feet, wmc20005yd","And when that is the most positive thing you can say about an appliance you know there isn't much left to work with.  The power is lacking and the controls are confusing.  It's the year 2012, there is no reason to need to keep the instruction manual for a microwave oven handy so guests can use it.  I gave it two stars because it does free up extra counter space.",11/27/2012,"Well, it's smallish...",R2V7C3ABUZO3PV,2,12,N,N
99058,8,US,Major Appliances,B005GSZB3M,109226352,whirlpool wmc20005yb 0.5 cu. ft. black countertop microwave,This product sucks ass when I received it doesn't work and have tryed and tryed to exchange it but whirlpool does not and will not stand behind there products,11/17/2012,Mr. Johnny Warren,R11GVNJD2MS4FF,1,27,Y,N
31194483,3,US,Major Appliances,B0018YR762,486381187,lg  over the range microwaves,The microwave oven arrived on time and in excellent condition.  We have tested it to make sure it works.  It was just installed so we haven't used it a lot yet.....completely happy...excellent Amazon service as usual.,8/30/2008,over the range microwave,R3PTRZEX6GESP5,4,17,Y,N
13230389,0,US,Major Appliances,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,"Very nice microwave, great price",8/31/2015,Four Stars,R1V2OPPNL0QGCE,4,0,Y,N
43655888,0,US,Major Appliances,B004ZU09QQ,423421857,danby 0.7 cu.ft. countertop microwave,"Quiet, but does not seem like 1000 watt power.",8/31/2015,quiet,R9Q0QDTLKV567,3,1,Y,N
117794,0,US,Major Appliances,B005GSZB7I,827502283,"whirlpool stainless look countertop microwave, 0.5 cu. feet, wmc20005yd",It's bigger than I thought.,8/31/2015,Four Stars,R3DL7HYC3QTWNI,4,0,Y,N
21924164,0,US,Major Appliances,B004ZUWBVW,423421857,danby 0.7 cu.ft. countertop microwave,Was pleased with the packaging and easy instructions to set it up. Worth $55 and that it was 'Prime&#34; order.,8/29/2015,Was pleased with the packaging and easy instructions to set it ...,R29F0E6EJJCEEM,4,0,Y,N
18672427,0,US,Major Appliances,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,Neat little unit. I have no complaints.,8/29/2015,Great Value for the Money.,R1WU4A3QFKJ0HT,5,0,Y,N
39416583,0,US,Major Appliances,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,Works Really Well,8/27/2015,Four Stars,R2X9MN0B0MVUZT,4,0,Y,N
31487975,1,US,Major Appliances,B005GSZB9Q,771401205,"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white",Love this microwave!  Gives me more space in my kitchen. ..only con is the price.,8/27/2015,Five Stars,R35P4D0NHKAGKE,5,1,Y,N
16397097,0,US,Major Appliances,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,Solid microwave for a good price.,8/24/2015,Four Stars,R2R63T6FP7G9JL,4,0,Y,N
14228362,0,US,Major Appliances,B00DUZ8LBW,930071734,ge microwave oven magnetron and diode kit om75p (10) part # wb27x10017,"Prompt delivery, my microwave is back up and running.",8/24/2015,"Timely delivery, good product.",R3YSEIBEK0XYT,5,0,Y,N
