customer_id,marketplace,product_category,product_id,product_parent,product_title,review_body,review_date,review_headline,review_id,verified_purchase,star_rating,total_votes,helpful_votes,vine
14652622,US,Baby,B001AVMF10,833430714,"natursutten bpa-free natural rubber pacifier, rounded nipple","Out of all the natural pacifiers out there, this is my least favorite. Even when brand new the nipple would stick to the ring and my daughter (7 months) would get frustrated because then she couldn't suck on the pacifier. It also seems stickier in general than the other brands right out of he box. It's fine to use if I'm lying right beside her and can unstick the nipple from the outer ring but is a definite no go for bed time unless I want to get up often (which who in their right mind does?!). We have found much better success with the eco piggy. It seems so much more high quality.",8/28/2015,Other brands are far superior,RAV784AEUO7SA,Y,2,11,9,N
11513141,US,Baby,B005YT9Q66,808441948,"natursutten bpa free natural rubber pacifier, butterfly shield, orthodontic nipple","I love that this is an all natural material pacifier. My baby will take it once in a while for nap time and likes it the best over other pacifiers but she isn't a huge fan. The reason I think she doesn't like (and the reason I don't like it) is because of its smell.. it smells like a latex glove. Unfortunately there's no way around it. After I sterilized it I rubbed coconut oil on it and rinsed, it helped but didn't fully get rid of the smell.<br />Other than the smell, it's great! It touches baby's nose, so for breastfed babies it's more natural feeling and there's no yucky, questionable ingredients.. that's why I bought it!",8/11/2015,Love that it's truly all natural.. not a fan of its natural smell.,R1UOBUWUI9IH54,Y,4,10,9,N
4720774,US,Baby,B00BTWEUPE,597077781,"mam feed & soothe bottle & pacifier gift set, boy, 0+ months, 6-count","I chose the blue bottles that had the monkeys on them but I received the ones with airplanes one them, I wanted to get the ones I ordered.",7/28/2015,The design was different,R1B3UVP89GDWJE,Y,1,29,21,N
27598356,US,Baby,B00PF841FW,386489526,"philips avent newborn pacifier, 0-2 months",This fits just right in my newborns mouth. The suction on the nipple works great in my babies mount. This will help reduce overeating as well as crying. Clear and BP free,7/24/2015,PHILLIPS,R13K0ZX6MSL2KT,N,5,0,0,Y
43324593,US,Baby,B003CK3LDI,392768822,wubbanub infant pacifier - giraffe,None available.,7/23/2015,READ THE OTHER REVIEWS! I ordered 3 Wubbanub's (my ...,RELAOI4O0P3YI,N,1,47,37,N
26844503,US,Baby,B0081ZOV06,473538559,"philips aventbpa free soothie pacifier, 3+ months, green, 2 count",This is such a rip off. I have 0-3 month pacifier from the same company and they are exactly the same! Baby doesn't use any of them.,7/21/2015,this is not 3+ pacifier!,R2N7YPZDDHXG8W,Y,1,20,16,N
50962978,US,Baby,B00MYRXSE2,528212913,"baby brezza baby bottle sterilizer and dryer machine 閳?electric steam sterilization - universal fit - pacifiers, glass, plastic, and newborn feeding bottles","We knew with our second child time was going to be short and precious. With our first daughter I remember all the hours spent sanitizing and drying bottles. This time around we decided to invest in this device and are happy we did.<br /><br />There isn't much to say beyond it does what it is supposed to, it saves us an enormous amount of time and that makes it worth the money. Once or twice a day we collect used bottles, rinse them and remove anything major using a bottle brush and then load them up into the Baby Brezza. Usually we do this before going to bed.<br /><br />It works its magic and bottles come out sparkling and dry. It is a decent amount of money for something you can do for free. So the real question is what is your time worth? For our family a lot and any little device like this that can give us our time back is well worth the cost.",7/4/2015,Save Time and Spend it on Your Baby Thanks to This,RF0XUPCG12L9O,Y,5,15,12,N
23058603,US,Baby,B0057EEC3A,218530709,"philips avent translucent orthodontic infant pacifier, 0-6 months",I washed these pacifiers with soap and I rinsed it very well but I guess there was some soap stuck inside because when I gave it to my 2 week old daughter there was soap bubbles coming out of her mouth!!! When I took the paci from her it was full of soap!!,7/1/2015,Horrible!!,R2TBK6BG26FZVC,N,1,51,47,N
6172554,US,Baby,B004LKRYM2,953521763,philips avent 2 pack bpa free pacifier,"I have a boy, what is the logic for receiving a girl pacifier? Well, I got fooled by the ad. Amazon needs take out this offer, it doesn't make sense.",6/12/2015,Color may vary is a bad joke,R2LW1B4978W9ZY,Y,1,10,8,N
17103255,US,Baby,B00PF841FW,386489526,"philips avent newborn pacifier, 0-2 months","These are the perfect size for a newborn and well worth the investment since we've always needed pacifiers most in the beginning.  I love the size and shape of these and so does my baby.  I also like that the pacifier is transparent so you can see more of the baby's face, and that they blend in and aren't so attention grabbing.  The nipple covers are also a really nice touch.  I'm not typically worried about germs, but I also don't want junk to get all over my baby's pacifier.  Highly recommended.",6/6/2015,Great pacifier.,R20UM7MHWZ4VPM,N,5,0,0,Y
