customer_id,helpful_votes,marketplace,product_category,product_id,product_parent,product_title,review_body,review_date,review_headline,review_id,star_rating,total_votes,verified_purchase,vine
11037761,0,US,Baby,B008WHMCFE,905342430,pullypalz - the interactive pacifier toy,Rip off!,4/11/2015,Two Stars,RB6HDVY0J84IM,2,49,N,N
7385502,1,US,Baby,B00BRHSD5Y,129348876,"summer infant pacifier thermometer, teal/white",Have not unpacked it yet -gift baby not due until mid May - this is silly to have a word limit,3/27/2014,Cute I hope it works,RESOQ87F3HN5O,5,17,Y,N
11239502,0,US,Baby,B003CK3LDI,392768822,wubbanub infant pacifier - giraffe,"I bought this thing because of all of the reviews here AND because we were struggling with our son's pacifiers. He would drop every single one and the one he liked he kept in for only a few minutes.  Bottom line, we realized HE DIDN'T WANT IT. That's why he'd drop it.  We took it away at six weeks and that was the best thing we ever did. We all slept, he was happy, helped with the breast feeding and made our lives much easier.  This pacifier kept falling all over the place, he'd cry some more.  Then I'd try to give it when he was on his side and still fell off. No matter where my son was this wubbanub didn't stay. Furthermore, it was too small and he had a hard time sucking/keeping it in. AUGH how frustrating.  Someone said;OH noooo he needs to have his sucking needs met. Well, he found his hands and consequently his thumb. Not sure if that is great either but I think it is the natural way. Yes, it maybe challenging to weaning of off the thumb, but we thought the paci would be hard and it wasn't it. Who knows! Bottom line DO NOT WASTE your money on this pacifier it doesn't comes close to what they advertise.",1/18/2012,Absolute Rubbish!,R2YSMCOEKDR238,1,14,N,N
44225493,2,US,Baby,B000YDFOPE,381226741,philips avent bpa free contemporary freeflow pacifier,"So, I take responsibility for not reading the description well enough to realize that there are actually only 2 pacifiers but the picture gave the impression that there would be 4 pacifiers.  I am pretty disappointed.  The 2 stars is based solely on the item picture within Amazon.  We love these pacifiers and would give them 5 stars.",11/29/2011,Picture is misleading,RCGIG9FXB7F0W,2,10,Y,N
44244168,3,US,Baby,B00005C0KD,451617076,gerber first essentials 2 pack soft center latex pacifier,I ordered these pacifiers for a baby boy and I ended up getting pink color pacifiers. I was really disappointed when I opened the package. There is no way I can use this pacifiers. I really wish there was an option to choose color. As it is a complete waste of money to buy a product which I'm never gonna use.,10/13/2011,Disappointed!!Got wrong color pacifiers,R2KA0MMKCKTT6,1,10,Y,N
36160611,1,US,Baby,B00352M1RA,932874238,"mam 2 pack original silicone pacifier, 0-6 months, colors may vary","I would give the Mam pacifier a 5 star, but I'm rating this particular item with 1 star couse you do get any color, bought 2 for my son and got a green set (good) and a purple set.<br />They list an Item model number that correspond to the blue one in the first picture, but you will get any. so save your time and maybe pay a bit more but buy the color you want.",8/20/2011,Yes Colors do vary - Pacifiers are great but not this item,R3JGGS1XG5WLB9,1,11,Y,N
51974622,3,US,Baby,B00005C0KD,451617076,gerber first essentials 2 pack soft center latex pacifier,"My son never used these...since he is a boy and the ones I received were pink...so I can't attest to whether he liked them or not.      Maybe it's just me, but colors may vary just doesn't fly with baby stuff unless all the colors are neutral.",11/4/2010,Colors may vary?,R1RV11DSI9WD74,1,12,Y,N
12853319,3,US,Baby,B0033WRTA6,710299720,"mam 2 pack original silicone pacifier, 6+ months, colors may vary (discontinued by manufacturer)","I ordered these pacifiers because they are shown here as being neutral in color, but I recieved blue pacifiers with trucks on them!  And I have a girl!!! Its ok to say colors may vary if they work for both sexes, but this is not acceptable. Needless to say, they are going back.",5/30/2010,Not happy with these!,R2SXUVPZG7WQNW,1,15,Y,N
35933456,3,US,Baby,B001BKMEQG,311600177,razbaby keep-it-kleen pacifier,"I thought this product would be great for my 14 month old when I saw another mom had it, so I went out and bougght 5 of them with high hopes.<br /><br />However, within 3 hours my son got injured in his lip when he fell with the Keep-It-Kleen pacifier and began to bleed rapidly with a pool of blood beside him.  It was very scary!!!  I almosty went to the emergency room, but managed to get the blleding to stop after ten minutes or so...<br /><br />Your child will likely fall down and some point while walking, etc. and if they have the pacifier in their mouth it may cause some extensive damage to the upper, lower lip internally or externally.<br /><br />I contacted the company and they were suppose to send me some information in the mail and to no avail have I received anything from them.<br /><br />Not impressed with the level of concern and curious how many other children will be injured and tramatized from this...<br /><br />Regards,<br />Concerned Mom",12/18/2009,NOT SAFE KEEP-IT-KLEEN,R3PGRY1M5RWPHO,1,10,N,N
10153234,0,US,Baby,B000EGZ2SA,735580975,"avent orthodontic translucent silicone pacifier, clear, 0-6 months 2 ea","i think itll be good, these are very tiny, ill be able to say when my baby starts using them. i think the idea of the case is very good and very handy.",9/6/2007,pacifiers for recent born,R3B4M0BY4RGH7D,3,12,Y,N
