word,tf-idf
work,0.015141253
great,0.014683457
dri,0.018508493
hair,0.027478664
faster,0.003811815
bigger,0.001303777
power,0.011554206
model,0.005855505
love,0.014012456
travel,0.007915487
blow,0.014180581
dryer,0.024100585
easi,0.007800442
lift,0.000501801
usual,0.00302087
come,0.005927268
1600,0.000942246
w,0.000655406
less,0.00588707
heavi,0.006315503
everywher,0.000446858
surpris,0.002054121
amount,0.001932092
compact,0.004329069
give,0.005000462
five,0.001652098
except,0.001493437
switch,0.006117509
turn,0.005604302
one,0.019892467
hand,0.004924206
noisier,0.000274638
anticip,0.000256312
style,0.005925718
just,0.013136686
got,0.006592891
last,0.009558459
week,0.004438887
think,0.005821282
cord,0.012192504
length,0.002948731
perfect,0.005491338
excel,0.004066007
get,0.013462248
extrem,0.002612407
hot,0.010236841
burn,0.004255339
metal,0.000934852
grate,0.000274638
well,0.011223412
plastic,0.002844964
bodi,0.001559797
use,0.020498708
keep,0.005013638
counter,0.001901341
put,0.005067063
away,0.003427273
melt,0.000979307
2,0.005849663
differ,0.006437851
comb,0.002358289
now,0.007793844
start,0.004674689
smoke,0.001507906
requir,0.001238459
high,0.007988954
heat,0.011686772
complet,0.003002913
frizzi,0.003985778
unsaf,0.000160218
ridicul,0.000310582
soon,0.001394988
new,0.006145157
arriv,0.002620881
brand,0.003800294
go,0.007042479
trash,0.000527314
found,0.004489803
everyth,0.002270749
goe,0.001526534
plug,0.004236556
left,0.002123051
right,0.004870688
opposit,0.000180139
upsid,0.000256312
charg,0.000647961
anoth,0.005799772
flaw,0.000650356
big,0.003973468
nois,0.00290735
realli,0.011034531
like,0.014850695
hairdryer,0.00997987
havent,0.002260627
long,0.009863794
tho,0.000180139
super,0.003839029
sale,0.000827797
cut,0.003306671
time,0.013130864
half,0.004184207
reckon,2.73E-05
year,0.011779969
least,0.002446663
7,0.00122626
month,0.007956318
5,0.004547928
day,0.006691185
air,0.009377477
doesnt,0.007663552
overheat,0.000903907
isnt,0.003237501
came,0.003790506
quick,0.002693904
didnt,0.006365524
cost,0.002499279
much,0.010194322
will,0.010084596
tip,0.000686487
stay,0.003664865
fall,0.002130105
middl,0.001058914
back,0.007119507
nice,0.008444517
dual,0.001706748
voltag,0.002923857
handi,0.001742609
product,0.013468192
took,0.003499254
anywher,0.000883672
3040,9.75E-05
min,0.001590993
client,0.000686487
old,0.008282523
drier,0.002329182
lot,0.006650952
deal,0.00250865
n,0.000463779
cute,0.001241629
updat,0.001836501
78month,2.73E-05
later,0.001472969
cold,0.003740749
wouldnt,0.002543874
recommend,0.008648149
price,0.009626504
sell,0.001184957
rubbish,7.52E-05
quiet,0.005648732
bought,0.00981187
replac,0.006819304
girlfriend,0.000941755
stupid,0.000262625
loud,0.004367202
woke,9.75E-05
everi,0.00516097
morn,0.002519308
thing,0.006630436
easier,0.002172512
ear,0.000965222
good,0.012485179
attachmentsveri,2.73E-05
light,0.007971441
drawback,0.000546147
mouss,0.00024074
oil,0.00116397
forget,0.000546147
without,0.005608958
struggl,0.000410291
grip,0.001450286
groov,2.73E-05
make,0.009061385
onoff,0.001267226
overal,0.003157929
live,0.001829435
thank,0.00301432
ive,0.008964431
final,0.003105351
spark,0.002220138
bad,0.003096392
believ,0.002347648
caught,0.001236435
fire,0.001945913
6month,5.20E-05
longer,0.00503135
notic,0.003758844
1st,0.000416831
smell,0.003318658
flow,0.002624829
low,0.006544025
fiddl,0.000139853
control,0.003753108
cool,0.007189797
button,0.007809466
gradual,0.000180139
begin,0.000872978
normal,0.002174891
cheaper,0.00170887
past,0.002594986
minimum,0.000348748
35,0.000536943
yr,0.00086899
weekend,0.000383122
andi,0.003400698
close,0.002063561
ill,0.002123463
attempt,0.000530408
contact,0.001419415
see,0.004040908
anyth,0.002733741
refundrepair,2.73E-05
even,0.00735432
unit,0.005545781
pleas,0.003676247
note,0.001267226
websit,0.000599228
seem,0.006669149
discontinu,0.000310582
hmm,5.20E-05
wonder,0.002935908
review,0.007677085
hear,0.001407338
dont,0.009665175
compani,0.00203154
free,0.001642254
top,0.002310756
space,0.002699513
small,0.006269942
bathroom,0.004988807
blowdryer,0.003214534
probabl,0.002741093
810year,2.73E-05
decid,0.003464264
upgrad,0.00078839
thick,0.006629252
moder,0.000430378
wavi,0.001838107
shoulder,0.001681599
due,0.001689581
typic,0.000859042
3045minut,2.73E-05
wish,0.00355873
joke,0.000299031
15,0.002300777
minut,0.006476693
1012minut,2.73E-05
precis,0.000383122
thrill,0.000813667
cant,0.004738846
say,0.005724175
enough,0.006166478
textur,0.001035707
speed,0.007372085
actual,0.004245879
abl,0.002926197
score,0.000292726
medium,0.003470059
set,0.013980179
blowdri,0.001111107
3,0.005664348
cheap,0.003600391
bulki,0.001407018
job,0.005859204
done,0.003522422
better,0.006830254
smaller,0.002266969
lighter,0.001879617
ergonom,0.0004955
alway,0.004398381
reason,0.004044381
purchas,0.009816759
curl,0.003099298
frizz,0.004502694
bonnet,0.002813642
remington,0.00258179
handl,0.006428627
head,0.003920237
balanc,0.000668421
chore,0.000139853
youd,0.00031689
expect,0.005097212
fast,0.006590051
static,0.000907212
buildup,0.000118971
gener,0.001374709
abil,0.000665314
hook,0.000955338
attach,0.00756103
fit,0.004152844
diffus,0.005654829
handiest,2.73E-05
dislik,0.000383122
compat,0.000118971
univers,0.000443615
also,0.009251955
amaz,0.003409128
wife,0.005000052
wait,0.001961032
highli,0.004015844
feel,0.006754858
solid,0.001410903
money,0.005107652
worth,0.00498676
far,0.005239687
noisi,0.002233107
contour,2.73E-05
nit,2.73E-05
littl,0.009056047
direct,0.001551481
stream,0.000469503
warm,0.003251358
pop,0.001297047
easili,0.003324193
item,0.004483641
perfectli,0.002364276
fine,0.006056184
im,0.009276399
glad,0.002367738
order,0.005499773
hard,0.003605204
find,0.005530787
happi,0.005678705
look,0.010490334
exactli,0.002962969
photo,0.000476379
weight,0.005308207
charm,0.000485715
definit,0.004645507
strong,0.003834816
origin,0.001680537
conair,0.007206457
1875,0.002195378
makeov,2.73E-05
yield,9.75E-05
best,0.006630561
result,0.002719206
instanc,0.000139853
replica,2.73E-05
lack,0.000766257
basic,0.00144698
function,0.002115918
temperatur,0.003422987
adjust,0.002290943
fan,0.00351905
featur,0.005006459
press,0.001395226
held,0.001162558
caus,0.002112623
person,0.001978544
finger,0.001660277
tire,0.001484801
hold,0.005795137
slide,0.001445947
retract,0.00735998
miss,0.001188263
valuabl,0.000180139
made,0.004452647
portabl,0.00098557
sprawl,2.73E-05
slightli,0.001489302
10,0.003547531
watt,0.003048704
invest,0.001448478
mount,0.004761941
wall,0.005630235
2nd,0.000730617
first,0.007625055
bit,0.00543908
dust,0.00085586
lightweighta,5.20E-05
plu,0.003038727
suitcas,0.000958573
still,0.007457504
short,0.004371826
sweet,0.000218855
need,0.008709051
hairno,2.73E-05
