word,tf-idf
3,0.005430746
button,0.009523553
stop,0.005660386
work,0.011240987
month,0.007723019
use,0.014562614
twice,0.001825941
day,0.005822724
recommend,0.005219742
go,0.005863468
money,0.00342003
someth,0.004401009
durabl,0.000397882
oh,0.001215087
also,0.006737337
big,0.003846399
plate,0.005654895
fit,0.008269337
didnt,0.005601695
long,0.003536106
cant,0.004084867
attest,9.52E-05
price,0.006083608
extrem,0.001855283
good,0.008401305
look,0.00959504
feel,0.001976651
like,0.009702349
qualiti,0.004335985
build,0.000984406
just,0.011008826
know,0.00497127
small,0.007444412
will,0.010351291
nuke,0.000528395
turkey,0.000477458
super,0.001482
high,0.002867012
wattag,0.001470895
may,0.003902461
take,0.006321086
bit,0.00379804
longer,0.004188392
must,0.002217857
can,0.009481216
soup,0.000679365
212,9.52E-05
minut,0.006702087
wont,0.003261586
nice,0.006257875
microwav,0.015672163
great,0.009048025
quiet,0.00181193
seem,0.005964571
1000,0.001390715
watt,0.003693101
power,0.00704499
bigger,0.001200477
thought,0.00280596
realli,0.006231151
love,0.006465824
one,0.013109822
touch,0.002682222
set,0.005977734
want,0.006623838
along,0.001249071
30,0.004758962
second,0.005822814
size,0.006399632
countertop,0.00326448
littl,0.006066282
noisi,0.001466353
beep,0.004063882
other,0.002631614
said,0.004414607
bought,0.007211928
2,0.006890532
year,0.010578946
ago,0.004165755
part,0.007527791
home,0.00429696
remodel,0.001896152
recent,0.00142272
sharp,0.006741287
warranti,0.006799013
1,0.004758962
amount,0.001881273
spent,0.001087183
expect,0.003936304
last,0.006540643
pleas,0.002980612
packag,0.002174998
easi,0.006973687
instruct,0.003200172
worth,0.002758402
55,0.000256028
prime34,9.52E-05
order,0.004499607
neat,9.52E-05
unit,0.013418946
complaint,0.002624045
finish,0.002148177
match,0.002194268
stainless,0.004408206
steelblack,9.52E-05
wall,0.003029269
oven,0.0114919
howev,0.003741905
open,0.007554443
door,0.010498942
first,0.005674237
tri,0.005190563
need,0.008477907
help,0.002650143
occasion,0.00090634
intern,0.00121547
make,0.007002786
nois,0.002818209
tray,0.001742961
rotat,0.001600737
excel,0.002393266
move,0.00192736
apart,0.002156422
builtin,0.001080418
kitchen,0.007340155
wasnt,0.001845384
perfect,0.005278683
footprint,0.001200477
pack,0.000945366
punch,0.000867737
cook,0.013803747
everyth,0.003726955
evenli,0.001813985
downsid,0.000528395
close,0.004773815
whole,0.002234284
sometim,0.002288778
heaviest,9.52E-05
im,0.00605289
fault,0.000664289
simpli,0.001813985
put,0.004622781
hand,0.001840383
top,0.005428911
openingclos,9.52E-05
well,0.008658914
give,0.003569938
space,0.007297603
con,0.001279039
never,0.00591222
wife,0.002141372
insist,0.000464304
buy,0.008597071
new,0.009115625
contact,0.002612224
ge,0.01132582
gave,0.002231776
20,0.001700611
credit,0.000679365
worri,0.001376793
paint,0.005905315
peel,0.001943752
tell,0.002414501
ok,0.002210795
read,0.004327532
review,0.007692879
made,0.004213269
sound,0.002283678
alittl,9.52E-05
difficult,0.00165984
current,0.001246914
third,0.001200477
lg,0.003598196
fail,0.003548348
week,0.005842018
took,0.002888833
get,0.009270641
us,0.00351383
next,0.002439383
11,0.001165768
went,0.00322863
thanksgiv,0.000528395
6900,9.52E-05
brand,0.004593485
perfectli,0.003751163
18,0.001263661
low,0.00268431
depot,0.000795426
replac,0.011043217
blog,9.52E-05
often,0.00171912
court,9.52E-05
major,0.00154128
problem,0.008443743
mani,0.003938603
failur,0.001012892
yet,0.002386053
continu,0.002031558
produc,0.000998174
worthless,0.000738098
piec,0.002702727
junk,0.001373978
appear,0.001852821
anoth,0.006190655
bean,0.000178868
counter,0.005754273
situat,0.000976058
cheaper,0.001235193
machin,0.002577187
fix,0.004883983
damag,0.002900156
recal,0.001498885
product,0.009510529
far,0.004623258
powder,0.000178868
quit,0.00322863
strong,0.001147944
grill,0.003430151
bulkier,0.000178868
food,0.007381012
complain,0.001087183
turntabl,0.004611469
light,0.005674815
come,0.004731774
abl,0.003091312
eventu,0.000891541
got,0.004618975
couldnt,0.002055575
matter,0.00142272
unplug,0.00236127
sit,0.002323925
heat,0.008500877
sadli,0.000397882
send,0.0024194
back,0.007075705
featur,0.006295593
fun,0.000256028
funni,0.000464304
storyyear,9.52E-05
husband,0.001772245
found,0.004553192
cube,0.000426714
garag,0.000679365
sale,0.000976058
2500,0.000190401
daughter,0.000723114
etc,0.002867012
older,0.001855678
lot,0.00454679
charm,0.000464304
room,0.002268953
rang,0.004458702
whirlpool,0.006581617
corner,0.003536106
ithowev,9.52E-05
easier,0.001344157
pocket,0.000256028
book,0.000541688
lol,0.000464304
sinc,0.004971776
decemb,0.000464304
2014,0.001064719
8,0.001657907
glass,0.003359484
carousel,0.001485575
tightli,0.000328677
plastic,0.003865262
gear,0.000190401
center,0.001918559
therefor,0.000464304
rattl,0.00060388
turn,0.00641662
dont,0.006773436
see,0.004427904
caus,0.001870672
loos,0.00087784
