word,tf-idf
pacifi,0.030443861
one,0.025156864
babi,0.024364153
love,0.02205914
like,0.021307956
use,0.020783002
mouth,0.017008345
great,0.016489643
just,0.01623725
son,0.01620973
get,0.015750517
month,0.015608046
littl,0.015566004
can,0.014918349
daughter,0.014810438
will,0.014688642
paci,0.013825062
cute,0.013681095
product,0.013153104
take,0.012563724
keep,0.012370165
hold,0.012293351
wubbanub,0.012270203
find,0.012214009
time,0.011997069
easi,0.011857143
old,0.01171224
tri,0.011679317
also,0.011644966
realli,0.011339267
bought,0.011327556
good,0.011204358
soothi,0.011058244
much,0.011051298
nippl,0.010893136
now,0.010868062
well,0.010849692
make,0.010480712
dont,0.010369834
work,0.010106277
look,0.009986535
doesnt,0.009941507
binki,0.009933941
got,0.009868951
put,0.009742431
thing,0.009592168
anim,0.009489998
wash,0.00933343
gift,0.009272136
buy,0.009266349
clean,0.009202945
color,0.009198984
help,0.009116089
seem,0.008888428
want,0.008869302
first,0.008801589
recommend,0.008722847
back,0.008623382
sinc,0.008565889
still,0.008557623
give,0.008527129
suck,0.008434865
go,0.008425102
even,0.008319131
night,0.008304747
didnt,0.00826211
bag,0.008243413
hospit,0.00823719
order,0.00819782
need,0.008178864
differ,0.008163446
fall,0.00812472
purchas,0.008084392
think,0.007934509
perfect,0.007853187
2,0.007823336
best,0.007792565
brand,0.007783644
newborn,0.007623089
size,0.00762111
two,0.007602702
3,0.007498347
come,0.007413078
bottl,0.007329007
nice,0.00729097
better,0.007259082
cant,0.007208468
im,0.007147896
stay,0.007029757
shape,0.006985442
made,0.006980918
around,0.006948535
sleep,0.006852245
new,0.006849913
part,0.006775563
week,0.006639445
never,0.006566189
attach,0.006497176
hard,0.006453105
easier,0.006389528
mam,0.00636511
glow,0.006329547
toy,0.006314471
favorit,0.006305101
see,0.006304657
way,0.006264108
child,0.00624483
alway,0.006230659
without,0.006107815
item,0.00608865
qualiti,0.006054078
easili,0.006024193
soft,0.006023329
design,0.006005441
kid,0.006000783
wish,0.005998426
know,0.005993362
hand,0.005989324
receiv,0.005976048
right,0.005974161
sure,0.005957745
everi,0.005953072
day,0.005914598
shower,0.005912725
say,0.005898347
stuf,0.005890439
friend,0.005873737
dark,0.005853541
start,0.005852404
teeth,0.005795054
big,0.005788882
small,0.005773676
enough,0.005762285
thought,0.005734904
someth,0.005703166
water,0.005687223
though,0.00564747
ador,0.005604124
abl,0.005520627
girl,0.005507665
4,0.005491976
prefer,0.005481966
boy,0.005479553
nuk,0.005441584
monkey,0.005395546
diaper,0.005376779
us,0.005376739
price,0.005331953
pink,0.005325097
giraff,0.005312188
anoth,0.005291742
avent,0.005285332
pictur,0.005274164
kind,0.005255251
lot,0.005250352
super,0.005188774
5,0.005147859
mani,0.005125298
onto,0.00512368
fit,0.005122232
happi,0.005065154
chew,0.005037052
plastic,0.005034566
found,0.005002123
howev,0.004992119
wont,0.004943964
spit,0.004889116
long,0.004887875
expect,0.00481948
problem,0.004816961
gave,0.00481244
bit,0.004783888
born,0.00474957
came,0.004707239
6,0.004683241
drop,0.004677398
face,0.004667471
actual,0.00465711
place,0.00465026
store,0.004647721
ever,0.00450228
theyr,0.004491261
definit,0.004488463
grab,0.00448212
other,0.004470009
year,0.00446771
took,0.004463283
end,0.00443157
thank,0.004412946
feel,0.00438917
idea,0.004341366
away,0.00432908
he,0.004327658
lose,0.004305907
play,0.004298198
piec,0.004290962
car,0.004275517
review,0.004253222
worth,0.004239615
second,0.004225482
star,0.004198352
ive,0.004164658
she,0.004163356
lost,0.004160407
sooth,0.00415093
bear,0.004150093
steril,0.004106476
crib,0.004049575
amazon,0.004038277
side,0.004017736
packag,0.003989436
mom,0.003987232
older,0.00398118
grandson,0.003980055
infant,0.003977716
case,0.003963927
parent,0.003935848
nose,0.003899074
far,0.003889317
absolut,0.003876412
comfort,0.003874652
replac,0.003874246
clip,0.003857152
type,0.003851423
pretti,0.003851314
sever,0.003790817
gumdrop,0.003783124
open,0.003780896
handl,0.003746803
highli,0.003728213
hope,0.003694883
light,0.003666823
natur,0.003608401
reason,0.003588249
pack,0.003586299
issu,0.003560814
let,0.003530356
1,0.003518786
regular,0.003517681
may,0.003513863
rubber,0.003512265
blue,0.003508153
given,0.003484089
wouldnt,0.003479485
almost,0.003429888
yet,0.003420604
less,0.003411889
silicon,0.00340234
close,0.003400184
cover,0.00337191
dri,0.003332578
green,0.003304673
hole,0.003297566
ship,0.003296547
throw,0.003287349
anyth,0.003278027
isnt,0.003245548
smaller,0.00322675
set,0.00322185
last,0.003208116
disappoint,0.003189456
exactli,0.003185427
instead,0.003184893
excel,0.003171364
middl,0.00317047
eleph,0.003169109
hate,0.003156332
plu,0.003152818
pull,0.003151856
dog,0.003145544
money,0.003137314
hous,0.003132949
wonder,0.003128383
home,0.003118415
weight,0.003113575
arriv,0.003081181
worri,0.003080616
leav,0.003076017
said,0.003070946
wipe,0.003042979
materi,0.003041943
couldnt,0.003038275
turn,0.003037634
wasnt,0.003033033
insid,0.003028319
probabl,0.003022829
fun,0.003018141
pop,0.00299385
especi,0.002985224
fan,0.002979451
care,0.002965442
coupl,0.002951712
must,0.002942708
asleep,0.0029311
floor,0.002926426
style,0.00291131
fast,0.002894582
awesom,0.002874271
machin,0.00287325
free,0.002872019
sometim,0.002843818
three,0.002829058
wait,0.002824473
quit,0.002818128
life,0.002812838
granddaught,0.00280968
whole,0.002797966
that,0.002790303
smell,0.002789397
air,0.002774331
lamb,0.002772067
longer,0.002769708
guy,0.002763325
bigger,0.002758008
breast,0.002757933
decid,0.002730698
quickli,0.002727744
alreadi,0.002720277
chest,0.002715718
weve,0.002699446
extra,0.002697839
least,0.002670586
chang,0.002668251
durabl,0.002666059
everyon,0.002657106
read,0.00265237
twin,0.002641813
mayb,0.002637887
enjoy,0.002623752
stick,0.002583998
puppi,0.002580077
fact,0.002574901
fine,0.002564122
went,0.002553345
orthodont,0.002534248
either,0.002528864
hit,0.002524368
confus,0.002519883
wake,0.002511714
learn,0.002511714
funni,0.002502533
latch,0.002493552
kept,0.002480713
caus,0.00247924
plush,0.00246927
peopl,0.002466991
10,0.002462493
clear,0.002451784
heavi,0.002437162
finger,0.002435458
soon,0.00243394
stop,0.002424746
cri,0.002422934
minut,0.002413657
els,0.002388834
seat,0.002380429
might,0.002377632
everyth,0.002375721
havent,0.002375446
holder,0.002372282
pick,0.002366434
nurs,0.002362138
cut,0.002361852
allow,0.002339387
carri,0.002337639
breastf,0.002323494
often,0.002323494
bad,0.002323494
save,0.002318866
safe,0.002312235
notic,0.002309301
usual,0.002288307
huge,0.002286958
sanit,0.002278522
glad,0.002270945
children,0.002259526
goe,0.0022503
pleas,0.002234204
round,0.002225326
laugh,0.002220544
feed,0.002213953
room,0.002213517
guess,0.002213517
brown,0.002211607
bed,0.00220754
noth,0.002192829
refus,0.002192829
breastfeed,0.002190135
8,0.002188365
saw,0.002183942
nephew,0.002176607
constantli,0.002174003
switch,0.002171783
roll,0.002162345
expens,0.002160343
leg,0.00216024
id,0.002157699
origin,0.002151452
hang,0.002150697
difficult,0.002150697
frog,0.002142509
amaz,0.002141352
harder,0.002141352
seen,0.00213957
boil,0.002130747
calm,0.002125719
deal,0.00212322
break,0.00211318
next,0.002111291
red,0.002104247
dragon,0.002103436
mean,0.002101408
purpl,0.002097726
base,0.002096662
immedi,0.002078371
anyon,0.002057377
person,0.002056483
box,0.00205207
remov,0.002047003
arm,0.002042793
cloth,0.002039832
scent,0.002032828
dirti,0.002028653
handi,0.00202568
tini,0.002006388
high,0.002004357
although,0.001990809
choos,0.001987601
similar,0.001987601
happen,0.001977598
search,0.00197405
7,0.00196963
show,0.001958565
detach,0.001946343
sent,0.001941666
teether,0.001939534
your,0.001936698
unfortun,0.001927953
live,0.001920092
larger,0.001919678
gag,0.001912402
describ,0.001911
3,0.00190767
loos,0.001893997
becom,0.001889528
suppos,0.001881465
age,0.001881465
larg,0.00187826
top,0.001872474
complet,0.001872474
later,0.001868938
ok,0.001868056
wear,0.001856419
cuddl,0.001856419
return,0.001856419
choke,0.001851785
niec,0.001839216
due,0.001834579
medicin,0.001831943
hour,0.001831417
mine,0.001825475
mark,0.00182196
option,0.001817321
flat,0.001814115
12,0.001814115
husband,0.001786428
soap,0.001785185
stuck,0.001782642
complaint,0.001782011
final,0.001779349
total,0.001778057
ago,0.00177353
figur,0.001769868
mother,0.001769058
featur,0.001760634
bpa,0.001756993
realiz,0.001752395
mind,0.001751634
soother,0.001739411
nap,0.001730212
nicu,0.001726783
believ,0.001721091
overal,0.001716619
strap,0.001709423
grasp,0.00170803
bright,0.001704357
tell,0.001703498
everywher,0.001703498
game,0.00170222
apart,0.001699026
avail,0.001694611
cours,0.001685848
call,0.001685848
perfectli,0.001681375
mention,0.00167727
ring,0.001673702
caterpillar,0.001672789
wrong,0.001672674
lo,0.001668511
four,0.001668139
reach,0.001668139
version,0.001665721
snap,0.001660768
compar,0.001645897
push,0.001642902
normal,0.001632543
gum,0.001629944
birth,0.001628069
photo,0.001627391
anyway,0.001623656
head,0.001620084
sit,0.001619193
move,0.001615268
choic,0.00161018
famili,0.001602089
cheap,0.001597266
real,0.001592229
quick,0.001592229
lifesav,0.001592229
ask,0.001592229
young,0.001592229
vanilla,0.001577131
wast,0.001574215
wubba,0.001571437
pacif,0.001570822
arent,0.001569803
fell,0.001565156
point,0.001561073
accept,0.001560614
cheaper,0.001560614
touch,0.001560614
lay,0.001556138
softer,0.00155163
half,0.001547017
wet,0.001538117
bottom,0.001538117
within,0.001528812
etc,0.001524267
fussi,0.001524267
mustach,0.00152111
troubl,0.001519852
washer,0.001510541
earli,0.001501516
sew,0.00149767
except,0.001492203
cool,0.001492203
lol,0.001492203
slightli,0.001492203
textur,0.001487654
sister,0.001483176
otherwis,0.001483176
note,0.001483121
kitti,0.001474085
run,0.001469246
conveni,0.001469246
microwav,0.0014658
excit,0.001464767
loop,0.001461266
hook,0.001460745
rather,0.001459947
interest,0.00145532
vari,0.00145532
dr,0.001452388
purpos,0.001450768
watch,0.001446289
someon,0.001446289
sound,0.001442674
continu,0.00144188
grow,0.00144188
mommi,0.001441404
dishwash,0.001441404
shield,0.001436003
bc,0.001433756
local,0.00142774
provid,0.001427503
there,0.001422789
done,0.001418155
secur,0.001413624
hot,0.001413624
thumb,0.001412557
saver,0.001409119
add,0.001409119
anymor,0.001404712
ill,0.001399465
hasnt,0.001394907
strong,0.001390426
scream,0.001390064
none,0.001386019
ye,0.0013807
five,0.00137614
collect,0.00137605
con,0.00137605
cutest,0.001371659
addit,0.001367252
gotten,0.001367252
recent,0.001367084
multipl,0.001366504
seller,0.001366504
short,0.00136186
track,0.001357298
6,0.00135715
job,0.001352816
along,0.001352816
sewn,0.001347591
latex,0.001342751
feet,0.001339494
matter,0.001338379
grand,0.001338379
unlik,0.001338379
duck,0.001331322
futur,0.001329491
tip,0.001324053
offer,0.001323949
suggest,0.001319383
tend,0.001319383
white,0.001319116
sturdi,0.001314899
9,0.001310495
compliment,0.001310495
import,0.00130953
stuff,0.001304875
leak,0.001304575
taken,0.001300307
onlin,0.001295822
held,0.001295822
toddler,0.001295822
list,0.001295132
ear,0.00129038
concern,0.001285721
separ,0.00128572
wife,0.00128115
transit,0.00128115
yellow,0.001275906
preemi,0.001275906
simpli,0.001271148
stroller,0.001271148
descript,0.001271148
fill,0.001262693
left,0.001261461
includ,0.001257425
nub,0.00125736
entir,0.001256597
hug,0.001253023
mo,0.001247164
knew,0.001242588
bodi,0.001242076
plan,0.001238102
wean,0.001238102
rest,0.001238102
carseat,0.0012337
sold,0.0012337
line,0.001232706
compani,0.001227759
send,0.001227759
front,0.00122318
match,0.001218692
comment,0.001218692
toss,0.001218692
bother,0.001217722
possibl,0.001208266
breath,0.001208266
bink,0.001204223
wubanub,0.001203046
particular,0.001199196
introduc,0.001199196
ground,0.001199196
stitch,0.001198153
name,0.001198153
anywher,0.001194797
wrap,0.001193367
milk,0.00119013
bounc,0.001188685
six,0.001184101
cap,0.001183398
told,0.001179611
medic,0.001179135
heard,0.001175212
surpris,0.001175212
extrem,0.001175212
pocket,0.001168517
concept,0.001164426
trap,0.001163658
check,0.001159935
bite,0.001158744
picki,0.001155537
state,0.001153942
consid,0.001153942
prevent,0.001149249
thermomet,0.001142097
practic,0.001140167
readi,0.001140167
stock,0.001140167
backup,0.001140167
wubbi,0.001136533
miss,0.00113577
across,0.00113577
lightweight,0.00112939
outsid,0.00112939
eye,0.001124797
tradit,0.001124797
rate,0.001123897
washabl,0.001120304
shown,0.001120304
market,0.001115908
blanket,0.00111414
passi,0.001110703
cost,0.001109435
hilari,0.001104838
sell,0.001103871
advertis,0.001100345
reject,0.001100345
cheek,0.00109946
younger,0.00109595
youll,0.001094093
curv,0.001089382
ton,0.001084781
unless,0.001080286
singl,0.001080286
present,0.001080286
squeez,0.001080286
cuter,0.001080286
pay,0.001075893
exclus,0.001075893
hurt,0.001073946
breastfe,0.001064623
oh,0.001060127
spare,0.001060127
servic,0.001060127
slip,0.001058543
eat,0.001058543
satisfi,0.001055734
spent,0.001055734
man,0.00104897
whatev,0.00104897
neutral,0.00104897
bulb,0.001048322
swaddl,0.001044362
plain,0.00104319
togeth,0.001039864
invent,0.001039864
chanc,0.001039864
beauti,0.001039864
shell,0.001039864
standard,0.001039864
flexibl,0.001035473
theme,0.001035473
geniu,0.00103334
today,0.001028607
daycar,0.001028607
rip,0.001028607
pro,0.001028607
appear,0.001028607
near,0.001023995
space,0.001023995
kitten,0.001021808
hair,0.001015436
function,0.001015106
solid,0.001012876
fed,0.001003519
full,0.001003519
gener,0.000999019
natursutten,0.000997645
wub,0.000997645
orang,0.000997645
basic,0.00099463
develop,0.00099463
hazard,0.00099463
crack,0.000992303
cat,0.000992108
sweet,0.000987554
black,0.000987554
becam,0.000987554
posit,0.000987554
area,0.000982933
fantast,0.000978431
snuggl,0.000978431
deliv,0.000978431
lip,0.000976511
seam,0.000976511
upset,0.000974044
20,0.000974044
imposs,0.000974044
nearli,0.000974044
weird,0.000971616
initi,0.000966859
contain,0.000966859
low,0.000962233
locat,0.000962233
simpl,0.000962233
daili,0.000962233
pattern,0.00096078
pricey,0.000957729
bedtim,0.000957729
understand,0.000957729
hell,0.000957729
varieti,0.000957729
knock,0.000955721
besid,0.000953343
prop,0.000953343
avoid,0.000953343
spot,0.000953343
deliveri,0.000953343
lil,0.000946047
broke,0.000946047
updat,0.000946047
experi,0.000941415
TRUE,0.000941415
bring,0.000941415
grip,0.000941415
mail,0.000941415
frustrat,0.000936911
self,0.000936911
begin,0.000936911
imagin,0.000936911
crazi,0.000932526
trip,0.000932526
15,0.000932526
rins,0.000929614
edg,0.000925115
spend,0.000925115
bunch,0.000925115
shut,0.000925115
special,0.000920478
instantli,0.000920478
bonu,0.000920478
paid,0.000920478
sort,0.000920478
tear,0.000920175
rub,0.000915972
print,0.000915972
bulki,0.000915972
travel,0.000915972
annoy,0.000915972
purs,0.000915972
warm,0.00091425
turtl,0.00091425
impress,0.000911589
construct,0.000911589
specif,0.000911589
gone,0.000911589
complain,0.000911589
werent,0.000911589
gender,0.000908846
number,0.00090406
nurseri,0.000894909
doubl,0.000894909
chose,0.000894909
threw,0.000894909
tast,0.00089263
pump,0.000890839
warmer,0.000890839
pair,0.000890528
ad,0.000890528
germ,0.000887676
ride,0.000882879
philip,0.00087823
swallow,0.000876493
exact,0.00087372
luck,0.00087372
100,0.000861568
cow,0.000861568
tippe,0.00086047
hawaii,0.00086047
brought,0.0008524
straight,0.0008524
thicker,0.0008524
third,0.0008524
skin,0.000849933
okay,0.000848022
downsid,0.000848022
serv,0.000848022
reciev,0.000848022
thread,0.000841666
gerber,0.000838983
munchkin,0.000838983
thrown,0.00083546
tongu,0.000830945
dig,0.000830945
mold,0.000830945
truli,0.000830945
amount,0.000828382
kiddo,0.00082657
eventu,0.00082657
discov,0.00082657
portion,0.000823372
control,0.000823372
solut,0.000813868
alon,0.000813868
dryer,0.000809352
thin,0.000809352
kinda,0.000809352
fuss,0.000809352
occasion,0.000809352
safeti,0.000806691
appreci,0.000804978
neg,0.000804978
felt,0.000804978
target,0.000804978
lie,0.000796812
useless,0.000796812
upsid,0.000792134
food,0.000787615
tire,0.000787615
18,0.000787615
laundri,0.000787615
shop,0.000787615
known,0.000787615
block,0.000787615
serious,0.000783243
properli,0.000783243
manipul,0.000783243
manufactur,0.000779801
doll,0.000779801
whether,0.000774938
string,0.000774938
pain,0.000770251
lovey,0.000770251
neck,0.000770251
essenti,0.000770251
bunni,0.000768166
fabric,0.000765729
damag,0.00076287
misplac,0.000761361
depend,0.000761361
